track,excerpt_start,musdb_version,sha256_mix,sha256_vocals,sha256_bass,sha256_drums,sha256_other,rms_mix,rms_vocals,rms_bass,rms_drums,rms_other,active_mix,active_vocals,active_bass,active_drums,active_other,roles,license_note
"Speak Softly - Like Horses","00:00:30","MUSDB18-HQ","539680a673cb33b841c79cb7f54dedbfea7d5ec48178db0a261fe9d14551b517","d69b8309284982106fbb3b7b77e817dabd94ea54b7b810796a33442391798574","2d37f21aa76fd51d858306f33c66b49e0b20bdabb82fb152508e463a3231d130","d2e8cb2bd2be2bb6370f83660f361c40cad5418c6572bed2f706fd7da36483d2","371bbf64ff1e55ebfe0c7b42ad25a3991173bfa989662dfc9625774e59ef15ed","-19.3","-23.5","-91.0","-27.0","-22.9","30","25","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Zeno - Signs","00:00:30","MUSDB18-HQ","6b26c045851fae6354bf76ce5ae5c12e3da7e1f53eb229fdf6c73c82b81eec87","dd2c916ecff82bb4b6885ed4242491553d05e43f577e3fd10605fa58187ef8ed","79d1a567f129f2349f143e7d55e9181c6c2040cf403cdde05820c2197dfffe99","55a9b00a316e162aad06694233ab1600258714d14eda9d8e0ddfc64d6d99a499","b59d4be93000cd175ddad4a440b43114dead74637d1008672e9a8551c0468f3b","-19.9","-27.2","-29.7","-23.6","-25.5","30","16","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Hollow Ground - Ill Fate","00:00:30","MUSDB18-HQ","fa5748da2ef29eb1f24bd8e9d271b3990d3fcce29825b9f566eb8362c8288aca","c9b57abbfcc7ee32cf407eb6aefde21ae6b4d86ac11a60942d8095ae770fbd61","af53a58d8c7b4fa01b10f2d356524baaf4b65f76eb5e7faf3fe4ff71a61e1cf4","3d4353a6eb14b496d4f577a1c8fdf31d343f7526c1c2c1a5ab004f947daf40a6","237972e2f8eaa1a5d2a7165403b08bbd116ce74101c397e22872398c6f4a515d","-17.2","-27.8","-23.4","-25.1","-20.2","30","21","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Timboz - Pony","00:00:30","MUSDB18-HQ","b7094e2fb8f3dc389666e404378fa48c8bb1628b3ada95f9c95e6bc546bd1c79","bcd29ee55b595f17bae5c7d5181be4df7dc4b376dc044e179a93600fd2a3f207","113fb3a288660c5fc2c38a46edf2b43ba92cef08e5e3f0da356101f1565cf8bc","19bcad9126f2c663379d7a905ab6da91dbc2cdb98665c59b957c0098bea4d564","6aa0a56c41deee26533065ed06c914ec5080b8943f50a3359c4250855f0266aa","-18.6","-30.2","-30.3","-25.4","-20.3","30","16","29","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Moosmusic - Big Dummy Shake","00:00:30","MUSDB18-HQ","1455d0511d4f1061bed9b0cba52370aeee8dbe987bd3d490f0296e17143bbedb","118715482affa10976ecbb02ac890030ea53a1d1730ec435cfb59637f7ca2d24","e48899b99a956f14382fba0a0e26704617c8078d4d5563afd2652aa999863566","047dc627b2a883dfbd82c207f330deaff0540cd3c381f17b0d849bc096ac44b1","c34050c5859b0db7c166bd1579a9a08268096ee17128cd9a8c647edf6824b725","-15.6","-21.8","-23.1","-20.3","-21.8","30","27","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Tom McKenzie - Directions","00:00:30","MUSDB18-HQ","e0950f14b92ac40f59a9c6a12b7aa4f4b3db08eec11f1b92d3e598cfac10ef1a","f81acf5f41aae366705a1217e488e06a2e11f251d8c55e70d20a299891022c1f","2d37f21aa76fd51d858306f33c66b49e0b20bdabb82fb152508e463a3231d130","7c71e45ac369729d0a0cbf91095335f7a79736473000585326e85e963dedf1c5","ce565f48d3f4c4d8fd95ad14c784e197af79adff5b84a53b565c2bfc03c95dcb","-23.1","-28.7","-91.0","-26.8","-28.3","30","20","30","10","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Ben Carrigan - We'll Talk About It All Tonight","00:00:30","MUSDB18-HQ","3d88b8ef6bb248c4ecdb51c9bda97b8ab88d3dd740f386d6d31db2ee23a4b3f2","70d64528ed4846a188a7ec2ee3a3b318ba1f80f1cf792f7f67f5ceba803bbe05","e03d12a6ef439f9445d1fc2a6fafc77c90dd46b98d231c2dbfbf472bc04c5cd1","6d81ff15fae421a4ab036eca1a6d37fd49a12f78505660361b5047738a164e5f","7f7afd2f4b02566f23989c42373c8c8340fb597e502390f43e3dd6a6ef5c7b76","-19.5","-27.5","-24.4","-24.4","-26.8","30","23","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Secretariat - Borderline","00:00:30","MUSDB18-HQ","a11902060d37ad3a93521c21ae15738a16e4c0b64294d885f4803d82ece4e808","0d126bfaae29a94333ad54255baa812646a73d8b1e4402c1a6f5d36321f94631","566821bc3d565b5d9965939a43f1c10e6d2f8eb0350d42698e02f17ae60b7f30","c99b4119ff3fbbbd33e66699853d04f576073959727e0107317ae5d3baedaed2","5c9fbc8627458892cfee2d05cd8e64533a3dce4c5300c29a7d783d7011c77880","-17.0","-23.5","-26.1","-28.3","-19.5","30","24","30","28","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"AM Contra - Heart Peripheral","00:00:30","MUSDB18-HQ","aa72fa9c044c8c61615a045b1c9ebc87b94d7bcfb677a7302be18b59f3717eaf","861642ff61d84f81a70ca3b4b8dd0fb9a8f019fb61bfe4f00d67fb115343305b","5101d44fa70e37a6e37ebf7f1cb0a381636ed4146b1ddaf5570df77a12c7fab7","db286850fe5688ad36d4284aeffffdf7bf762015ed5b5be1f8e33b282b7320dd","3b8036ce98c69c703292f8c4826e948256ef79ae9544f652f1663d1757f3797d","-17.8","-23.5","-26.4","-21.4","-25.6","30","29","15","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Motor Tapes - Shore","00:00:30","MUSDB18-HQ","8354baf981d3cb42b57dc67616a2dc7151266bbda802e7cdad6e15fb2885af02","e0ca9d53bbdcd274b4b8c1b801e52d6392126e59a4fb6b2a284071e35db9e9ee","d535665fd51160726b6687057979205393cda6636bd6955e4bfc4271792151da","696fba777fab9f676f602275932a287d92c52fba3a91b44f5407e9a4cbbb5581","a1c6d24c50b6dc0e088b6da11290cadd2c46c03a5027fbf91a7bb0014a0aeb98","-17.5","-21.9","-26.0","-30.6","-21.1","30","18","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Arise - Run Run Run","00:00:30","MUSDB18-HQ","6480484875fee0045121ef4354e4ec189181cced300fe8ea06ff4ebc49a142c2","a7ae7b2983d9f016037562f968b762c4a5aa05e3ad59b3dce4d369106ff2df31","b7ebed1d96d8a7a02d54546d90cab97f38d10bf99897979feb8bfd4398f62b5c","de92e35fdb6d755c8a8ce0e9bf593600128c3b200d2084bac9c2ee89f5aec92a","5b1178158257177f76026488b107f079f22d91a459af61dd197a2c9d9fd76833","-15.8","-24.0","-20.2","-25.3","-19.8","30","26","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Skelpolu - Resurrection","00:00:30","MUSDB18-HQ","9a92d5dc77d85c8af858cf4a99af8fa3a5e7f2633141ee4fb6139350625d81b0","2d37f21aa76fd51d858306f33c66b49e0b20bdabb82fb152508e463a3231d130","f6f58fbef5085d8384a017a974d0febd2fefb7aaccfc381a5c9d7818d4b40536","f275525b31a51c158146297840d447352e2a9901a17ccc5428fa631dc0d28407","1fdfd0c89e6cf3bd6dbe0a826361c52d8610d8330f11ea17fa649f65a0f835d6","-18.1","-91.0","-19.8","-24.0","-30.3","30","30","16","18","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Louis Cressy Band - Good Time","00:00:30","MUSDB18-HQ","db23e1350a275a20f5e5bc11923c3ca93cd02aee0d347551f5f664ebcb245d97","395785e9d6f63b9f5804b70fc79cb02e98a33325b93b33d54bad557a74d39c12","4b3ad310e28bd3cf3ec925bbb1e011c6f9aa167f5c088471f11735763b5920f5","3001a0cff39ada5c6c016da877978f8c63c8d6342bf0ff6cb30ff03f8c623e5e","36a9efc514fc32a4bf6a2df4f424944b6679e1236fe07e16b1423c30350fad08","-20.5","-27.9","-28.8","-25.2","-25.2","30","19","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
